Date,Team,Acquired,Relinquished,Notes
22/11/2013,Nets,,Jason Terry,knee injury (DTD)
22/11/2013,Pacers,,C.J. Watson,upper respiratory infection (DNP)
22/11/2013,Pistons,,Charlie Villanueva,sore back (DNP)
22/11/2013,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
22/11/2013,Warriors,,Ognen Kuzmic,fractured right hand (DNP)
22/11/2013,Wizards,,Trevor Ariza,strained right hamstring (DNP)
23/11/2013,76ers,,Spencer Hawes,sore left knee (DNP)
23/11/2013,76ers,,Tony Wroten Jr.,strained lower back (DNP)
23/11/2013,Bulls,,Derrick Rose,torn meniscus in right knee (out for season)
23/11/2013,Celtics,,Keith Bogans,illness (DNP)
23/11/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
23/11/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
23/11/2013,Grizzlies,,Marc Gasol,sprained MCL in left knee (out indefinitely)
23/11/2013,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
23/11/2013,Magic,,Kyle O'Quinn,sprained right ankle (DNP)
23/11/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
23/11/2013,Rockets,,James Harden,sore left foot (DNP)
23/11/2013,Rockets,,Ronnie Brewer,strained right calf (DNP)
23/11/2013,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
23/11/2013,Wizards,,Al Harrington,sore right knee (DNP)
23/11/2013,Wizards,,Trevor Ariza,strained right hamstring (DNP)
24/11/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
24/11/2013,Lakers,,Chris Kaman,sore back (DNP)
24/11/2013,Nets,,Deron Williams,sprained left ankle (DNP)
25/11/2013,Bulls,,Derrick Rose,surgery on right knee to repair torn meniscus (out for season)
25/11/2013,Celtics,,Keith Bogans,illness (DNP)
25/11/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
25/11/2013,Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
25/11/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
25/11/2013,Rockets,,James Harden,sore left foot (DNP)
25/11/2013,Rockets,,Ronnie Brewer,strained right calf (DNP)
25/11/2013,Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
26/11/2013,Lakers,,Chris Kaman,sore back (DNP)
26/11/2013,Nets,,Deron Williams,sprained left ankle (DNP)
26/11/2013,Nets,,Jason Terry,bruised left knee (DNP)
26/11/2013,Wizards,,Al Harrington,sore right knee (DNP)
27/11/2013,76ers,,Spencer Hawes,sore left knee (DNP)
27/11/2013,76ers,,Tony Wroten Jr.,strained lower back (DNP)
27/11/2013,Bucks,,Nate Wolters,illness (DNP)
27/11/2013,Cavaliers,,Tyler Zeller,sprained right ankle (DNP)
27/11/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
27/11/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
27/11/2013,Hawks,,Kyle Korver,bruised ribs (DNP)
27/11/2013,Hawks,,Shelvin Mack,sprained left ankle (DNP)
27/11/2013,Lakers,,Chris Kaman,sore back (DNP)
27/11/2013,Nets,,Deron Williams,sprained left ankle (DNP)
27/11/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
27/11/2013,Rockets,,James Harden,sore left foot (DNP)
29/11/2013,Bucks,,Caron Butler,sore left knee (DNP)
29/11/2013,Celtics,,Courtney Lee,sore/sprained left knee (DNP)
29/11/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
29/11/2013,Clippers,,Chris Paul,strained right hamstring (DNP)
29/11/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
29/11/2013,Lakers,,Chris Kaman,sore back (DNP)
29/11/2013,Magic,,Jameer Nelson,sprained left foot (DNP)
29/11/2013,Nets,,Deron Williams,sprained left ankle (DNP)
29/11/2013,Nets,,Kevin Garnett,rest (DNP)
29/11/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
29/11/2013,Rockets,,Jeremy Lin,sprained right knee (DNP)
29/11/2013,Suns,,Alex Len,sore left ankle (DNP)
29/11/2013,Suns,Eric Bledsoe,,returned to lineup
29/11/2013,Wizards,,Nene Hilario ,sore right Achilles (DNP)
30/11/2013,Bucks,,Caron Butler,sore left knee (DNP)
30/11/2013,Bucks,,Ersan Ilyasova,sore left hamstring (DNP)
30/11/2013,Celtics,,Courtney Lee,sore left knee (DNP)
30/11/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
30/11/2013,Grizzlies,,Zach Randolph,ingrown toenail (DNP)
30/11/2013,Hawks,,Lou Williams,recovering from surgery on right knee (DNP)
30/11/2013,Jazz,,Andris Biedrins,sprained left ankle (out indefinitely)
30/11/2013,Mavericks,,Jose Calderon,bone bruise in right ankle (DNP)
30/11/2013,Nets,,Deron Williams,sprained left ankle (DNP)
30/11/2013,Nets,,Paul Pierce,bruised right hand (DNP)
30/11/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
30/11/2013,Rockets,,Jeremy Lin,sprained right knee (DNP)
30/11/2013,Timberwolves,,Shabazz Muhammad,DNP
30/11/2013,Wizards,,Al Harrington,sore right knee (DNP)
01/12/2013,Clippers,,J.J. Redick,fractured right hand (DNP)
01/12/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
01/12/2013,Lakers,,Chris Kaman,sore back (DNP)
01/12/2013,Pelicans,,Anthony Davis,fractured left hand (out indefinitely)
02/12/2013,Lakers,,Jordan Farmar,torn left hamstring (out indefinitely)
02/12/2013,Magic,,Jameer Nelson,sprained left foot (DNP)
02/12/2013,Rockets,,Chandler Parsons,sore back / back spasms (DNP)
02/12/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
02/12/2013,Rockets,,Jeremy Lin,sprained right knee (DNP)
03/12/2013,Bucks,,Caron Butler,sore left knee (DNP)
03/12/2013,Celtics,,Kelly Olynyk,sprained right ankle (DNP)
03/12/2013,Grizzlies,,Zach Randolph,ingrown toenail (DNP)
03/12/2013,Heat,,Dwyane Wade,knee injury (DTD)
03/12/2013,Magic,,Jameer Nelson,sprained left foot (DNP)
03/12/2013,Magic,,Nikola Vucevic,sprained left ankle (DNP)
03/12/2013,Nets,,Deron Williams,sprained left ankle (DNP)
03/12/2013,Nets,,Paul Pierce,fractured right hand (DNP)
04/12/2013,Bobcats,,Michael Kidd-Gilchrist,fractured left hand (out indefinitely)
04/12/2013,Bucks,,Caron Butler,sore left knee (DNP)
04/12/2013,Clippers,,J.J. Redick,fractured right hand (DNP)
04/12/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
04/12/2013,Rockets,,Chandler Parsons,sore back (DNP)
04/12/2013,Rockets,,Greg Smith ,sprained right knee (DNP)
04/12/2013,Rockets,,Jeremy Lin,sprained right knee (DNP)
04/12/2013,Rockets,,Omer Asik,bruised right thigh (DNP)
05/12/2013,Bulls,,Mike James ,right knee injury (DNP)
05/12/2013,Clippers,,J.J. Redick,fractured right hand (DNP)
05/12/2013,Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
05/12/2013,Grizzlies,,Tony Allen,hip injury (DNP)
05/12/2013,Nets,,Deron Williams,sprained left ankle (DNP)
05/12/2013,Nets,,Paul Pierce,fractured right hand (DNP)
06/12/2013,76ers,,Michael Carter-Williams,sore right knee (DNP)
06/12/2013,Bucks,,Caron Butler,sore left knee (DNP)
